original_index	identifier	track_type	strand	strand_pair	scale	gtex_tissue	clip_soft	sum_stat	description
0	CNhs10608+	cage	+	1	1.0		384	sum	CAGE:Clontech Human Universal Reference Total RNA, pool1
1	CNhs10608-	cage	-	0	1.0		384	sum	CAGE:Clontech Human Universal Reference Total RNA, pool1
2	CNhs10610+	cage	+	3	1.0		384	sum	CAGE:SABiosciences XpressRef Human Universal Total RNA, pool1
3	CNhs10610-	cage	-	2	1.0		384	sum	CAGE:SABiosciences XpressRef Human Universal Total RNA, pool1
4	CNhs10612+	cage	+	5	1.0		384	sum	CAGE:Universal RNA - Human Normal Tissues Biochain, pool1
5	CNhs10612-	cage	-	4	1.0		384	sum	CAGE:Universal RNA - Human Normal Tissues Biochain, pool1
6	CNhs10615+	cage	+	7	1.0		384	sum	CAGE:adipose tissue, adult, pool1
7	CNhs10615-	cage	-	6	1.0		384	sum	CAGE:adipose tissue, adult, pool1
8	CNhs10616+	cage	+	9	1.0		384	sum	CAGE:bladder, adult, pool1
9	CNhs10616-	cage	-	8	1.0		384	sum	CAGE:bladder, adult, pool1
10	CNhs10617+	cage	+	11	1.0		384	sum	CAGE:brain, adult, pool1
11	CNhs10617-	cage	-	10	1.0		384	sum	CAGE:brain, adult, pool1
12	CNhs10618+	cage	+	13	1.0		384	sum	CAGE:cervix, adult, pool1
13	CNhs10618-	cage	-	12	1.0		384	sum	CAGE:cervix, adult, pool1
14	CNhs10619+	cage	+	15	1.0		384	sum	CAGE:colon, adult, pool1
15	CNhs10619-	cage	-	14	1.0		384	sum	CAGE:colon, adult, pool1
16	CNhs10620+	cage	+	17	1.0		384	sum	CAGE:esophagus, adult, pool1
17	CNhs10620-	cage	-	16	1.0		384	sum	CAGE:esophagus, adult, pool1
18	CNhs10621+	cage	+	19	1.0		384	sum	CAGE:heart, adult, pool1
19	CNhs10621-	cage	-	18	1.0		384	sum	CAGE:heart, adult, pool1
20	CNhs10622+	cage	+	21	1.0		384	sum	CAGE:kidney, adult, pool1
21	CNhs10622-	cage	-	20	1.0		384	sum	CAGE:kidney, adult, pool1
22	CNhs10624+	cage	+	23	1.0		384	sum	CAGE:liver, adult, pool1
23	CNhs10624-	cage	-	22	1.0		384	sum	CAGE:liver, adult, pool1
24	CNhs10625+	cage	+	25	1.0		384	sum	CAGE:lung, adult, pool1
25	CNhs10625-	cage	-	24	1.0		384	sum	CAGE:lung, adult, pool1
26	CNhs10626+	cage	+	27	1.0		384	sum	CAGE:ovary, adult, pool1
27	CNhs10626-	cage	-	26	1.0		384	sum	CAGE:ovary, adult, pool1
28	CNhs10627+	cage	+	29	1.0		384	sum	CAGE:placenta, adult, pool1
29	CNhs10627-	cage	-	28	1.0		384	sum	CAGE:placenta, adult, pool1
30	CNhs10628+	cage	+	31	1.0		384	sum	CAGE:prostate, adult, pool1
