original_index	identifier	track_type	strand	strand_pair	scale	gtex_tissue	clip_soft	sum_stat	description
0	CLO:0007045	rna	.	0	0.3		384	sum_sqrt	RNA:Jurkat, Clone E6-1
1	EFO:0001086	rna	.	1	0.3		384	sum_sqrt	RNA:A549 treated with 0.1 nM dexamethasone for 1 hour
2	EFO:0001187	rna	.	2	0.3		384	sum_sqrt	RNA:HepG2
3	EFO:0001203	rna	.	3	0.3		384	sum_sqrt	RNA:MCF-7
4	EFO:0001247	rna	.	4	0.3		384	sum_sqrt	RNA:T47D treated with 100 nM bisphenol A for 4 hours
5	EFO:0002067	rna	.	5	0.3		384	sum_sqrt	RNA:K562
6	EFO:0002713	rna	.	6	0.3		384	sum_sqrt	RNA:Panc1
7	EFO:0002784	rna	.	7	0.3		384	sum_sqrt	RNA:GM12878
8	EFO:0002785	rna	.	8	0.3		384	sum_sqrt	RNA:GM12891
9	EFO:0002786	rna	.	9	0.3		384	sum_sqrt	RNA:GM12892
10	EFO:0002791	rna	.	10	0.3		384	sum_sqrt	RNA:HeLa-S3
11	EFO:0002824	rna	.	11	0.3		384	sum_sqrt	RNA:HCT116
12	EFO:0003042	rna	.	12	0.3		384	sum_sqrt	RNA:H1
13	EFO:0003072	rna	.	13	0.3		384	sum_sqrt	RNA:SK-N-SH
14	EFO:0005234	rna	.	14	0.3		384	sum_sqrt	RNA:PFSK-1
15	EFO:0005237	rna	.	15	0.3		384	sum_sqrt	RNA:U-87 MG
16	EFO:0005714	rna	.	16	0.3		384	sum_sqrt	RNA:LHCN-M2
17	EFO:0005718	rna	.	17	0.3		384	sum_sqrt	RNA:Ishikawa treated with 100 nM bisphenol A for 4 hours
18	EFO:0005723	rna	.	18	0.3		384	sum_sqrt	RNA:GM23248
19	EFO:0005725	rna	.	19	0.3		384	sum_sqrt	RNA:BE2C
20	EFO:0007950	rna	.	20	0.3		384	sum_sqrt	RNA:GM23338 originated from GM23248
21	CL:0000103	rna	.	21	0.3		384	sum_sqrt	RNA:bipolar neuron originated from GM23338 treated with 0.5 ug/mL doxycycline hyclate for 4 days
22	CL:0000182	rna	.	22	0.3		384	sum_sqrt	RNA:hepatocyte originated from H9
23	CL:0000187	rna	.	23	0.3		384	sum_sqrt	RNA:myocyte originated from LHCN-M2
24	CL:0000192	rna	.	24	0.3		384	sum_sqrt	RNA:smooth muscle cell originated from H9
25	CL:0000746	rna	.	25	0.3		384	sum_sqrt	RNA:cardiac muscle cell originated from RUES2
26	CL:0000121	rna	.	26	0.3		384	sum_sqrt	RNA:Purkinje cell male child (6 years)
27	CL:0000312	rna	.	27	0.3		384	sum_sqrt	RNA:keratinocyte female
28	CL:0000515	rna	.	28	0.3		384	sum_sqrt	RNA:skeletal muscle myoblast
29	CL:0000624	rna	.	29	0.3		384	sum_sqrt	RNA:CD4-positive, alpha-beta T cell male adult (37 years)
30	CL:0000625	rna	.	30	0.3		384	sum_sqrt	RNA:CD8-positive, alpha-beta T cell male adult (37 years)
31	CL:0000788	rna	.	31	0.3		384	sum_sqrt	RNA:naive B cell
32	CL:0000792	rna	.	32	0.3		384	sum_sqrt	RNA:CD4-positive, CD25-positive, alpha-beta regulatory T cell
33	CL:0000823	rna	.	33	0.3		384	sum_sqrt	RNA:with multiple sclerosis; immature natural killer cell
34	CL:0000895	rna	.	34	0.3		384	sum_sqrt	RNA:with multiple sclerosis; naive thymus-derived CD4-positive, alpha-beta T cell
35	CL:0000897	rna	.	35	0.3		384	sum_sqrt	RNA:CD4-positive, alpha-beta memory T cell
36	CL:0000900	rna	.	36	0.3		384	sum_sqrt	RNA:naive thymus-derived CD8-positive, alpha-beta T cell
37	CL:0000909	rna	.	37	0.3		384	sum_sqrt	RNA:CD8-positive, alpha-beta memory T cell
38	CL:0001053	rna	.	38	0.3		384	sum_sqrt	RNA:IgD-negative memory B cell
39	CL:0001054	rna	.	39	0.3		384	sum_sqrt	RNA:with multiple sclerosis; CD14-positive monocyte
40	CL:0001059	rna	.	40	0.3		384	sum_sqrt	RNA:common myeloid progenitor, CD34-positive female adult (33 years)
41	CL:0002553	rna	.	41	0.3		384	sum_sqrt	RNA:fibroblast of lung
42	CL:0002618	rna	.	42	0.3		384	sum_sqrt	RNA:endothelial cell of umbilical vein newborn
43	CL:0011022	rna	.	43	0.3		384	sum_sqrt	RNA:fibroblast of skin of back male embryo (97 days)
44	CL:2000013	rna	.	44	0.3		384	sum_sqrt	RNA:fibroblast of skin of abdomen male embryo (97 days)
45	NTR:0000524	rna	.	45	0.3		384	sum_sqrt	RNA:fibroblast of skin of scalp male embryo (97 days)
46	UBERON:0000059	rna	.	46	0.3		384	sum_sqrt	RNA:large intestine tissue male embryo (108 days)
47	UBERON:0000473	rna	.	47	0.3		384	sum_sqrt	RNA:testis tissue male embryo
48	UBERON:0000945	rna	.	48	0.3		384	sum_sqrt	RNA:stomach tissue male embryo (127 days)
49	UBERON:0000948	rna	.	49	0.3		384	sum_sqrt	RNA:heart tissue male embryo (120 days)
50	UBERON:0000992	rna	.	50	0.3		384	sum_sqrt	RNA:ovary tissue female embryo
51	UBERON:0001224	rna	.	51	0.3		384	sum_sqrt	RNA:renal pelvis tissue female embryo (105 days)
52	UBERON:0001383	rna	.	52	0.3		384	sum_sqrt	RNA:muscle of leg tissue male embryo (96 days)
53	UBERON:0001499	rna	.	53	0.3		384	sum_sqrt	RNA:muscle of arm tissue male embryo (127 days)
54	UBERON:0001774	rna	.	54	0.3		384	sum_sqrt	RNA:muscle of trunk tissue female embryo (120 days)
55	UBERON:0002106	rna	.	55	0.3		384	sum_sqrt	RNA:spleen tissue embryo (112 days)
56	UBERON:0002107	rna	.	56	0.3		384	sum_sqrt	RNA:liver tissue female child (4 years) and with nonobstructive coronary artery disease; liver tissue male adult (32 years)
57	UBERON:0002108	rna	.	57	0.3		384	sum_sqrt	RNA:small intestine tissue female embryo (108 days)
58	UBERON:0002113	rna	.	58	0.3		384	sum_sqrt	RNA:kidney tissue female embryo (105 days)
59	UBERON:0002167	rna	.	59	0.3		384	sum_sqrt	RNA:right lung tissue male embryo (105 days)
60	UBERON:0002168	rna	.	60	0.3		384	sum_sqrt	RNA:left lung tissue male embryo (96 days)
61	UBERON:0002240	rna	.	61	0.3		384	sum_sqrt	RNA:spinal cord tissue male embryo (105 days)
62	UBERON:0002324	rna	.	62	0.3		384	sum_sqrt	RNA:muscle of back tissue female embryo (115 days)
63	UBERON:0002369	rna	.	63	0.3		384	sum_sqrt	RNA:adrenal gland tissue female embryo (85 days)
64	UBERON:0002370	rna	.	64	0.3		384	sum_sqrt	RNA:thymus tissue male embryo (127 days)
65	UBERON:0003662	rna	.	65	0.3		384	sum_sqrt	RNA:forelimb muscle tissue female embryo (108 days)
66	UBERON:0003663	rna	.	66	0.3		384	sum_sqrt	RNA:hindlimb muscle tissue male embryo (120 days)
67	UBERON:0004538	rna	.	67	0.3		384	sum_sqrt	RNA:left kidney tissue male embryo (96 days)
68	UBERON:0005270	rna	.	68	0.3		384	sum_sqrt	RNA:renal cortex interstitium tissue male embryo (91 days)
69	UBERON:0018115	rna	.	69	0.3		384	sum_sqrt	RNA:left renal pelvis tissue male embryo (105 days)
70	UBERON:0018116	rna	.	70	0.3		384	sum_sqrt	RNA:right renal pelvis tissue male embryo (105 days)
71	UBERON:0018117	rna	.	71	0.3		384	sum_sqrt	RNA:left renal cortex interstitium tissue male embryo (105 days)
72	UBERON:0018118	rna	.	72	0.3		384	sum_sqrt	RNA:right renal cortex interstitium tissue male embryo (105 days)
73	EFO:0002067	rna	.	73	0.3		384	sum_sqrt	RNA:K562 treated with 100 nM GSK J4 for 4 hours
74	EFO:0009747	rna	.	74	0.3		384	sum_sqrt	RNA:WTC11 genetically modified (insertion) using TALEN inserting M. musculus Neurog2
75	EFO:0001086+	rna	+	76	0.3		384	sum_sqrt	RNA:A549
76	EFO:0001086-	rna	-	75	0.3		384	sum_sqrt	RNA:A549
77	EFO:0001187+	rna	+	78	0.3		384	sum_sqrt	RNA:HepG2 nuclear fraction
78	EFO:0001187-	rna	-	77	0.3		384	sum_sqrt	RNA:HepG2 nuclear fraction
79	EFO:0001196+	rna	+	80	0.3		384	sum_sqrt	RNA:IMR-90 cytosolic fraction
80	EFO:0001196-	rna	-	79	0.3		384	sum_sqrt	RNA:IMR-90 cytosolic fraction
81	EFO:0001203+	rna	+	82	0.3		384	sum_sqrt	RNA:MCF-7
82	EFO:0001203-	rna	-	81	0.3		384	sum_sqrt	RNA:MCF-7
83	EFO:0002059+	rna	+	84	0.3		384	sum_sqrt	RNA:HT1080 nuclear fraction
84	EFO:0002059-	rna	-	83	0.3		384	sum_sqrt	RNA:HT1080 nuclear fraction
85	EFO:0002067+	rna	+	86	0.3		384	sum_sqrt	RNA:K562
86	EFO:0002067-	rna	-	85	0.3		384	sum_sqrt	RNA:K562
87	EFO:0002779+	rna	+	88	0.3		384	sum_sqrt	RNA:BJ
88	EFO:0002779-	rna	-	87	0.3		384	sum_sqrt	RNA:BJ
89	EFO:0002784+	rna	+	90	0.3		384	sum_sqrt	RNA:GM12878
90	EFO:0002784-	rna	-	89	0.3		384	sum_sqrt	RNA:GM12878
91	EFO:0002791+	rna	+	92	0.3		384	sum_sqrt	RNA:HeLa-S3 cytosolic fraction
92	EFO:0002791-	rna	-	91	0.3		384	sum_sqrt	RNA:HeLa-S3 cytosolic fraction
93	EFO:0003042+	rna	+	94	0.3		384	sum_sqrt	RNA:H1
94	EFO:0003042-	rna	-	93	0.3		384	sum_sqrt	RNA:H1
95	EFO:0003044+	rna	+	96	0.3		384	sum_sqrt	RNA:NCI-H460 cytosolic fraction
96	EFO:0003044-	rna	-	95	0.3		384	sum_sqrt	RNA:NCI-H460 cytosolic fraction
97	EFO:0003072+	rna	+	98	0.3		384	sum_sqrt	RNA:SK-N-SH treated with 6 uM all-trans-retinoic acid for 48 hours
98	EFO:0003072-	rna	-	97	0.3		384	sum_sqrt	RNA:SK-N-SH treated with 6 uM all-trans-retinoic acid for 48 hours
99	EFO:0005720+	rna	+	100	0.3		384	sum_sqrt	RNA:SK-MEL-5 nuclear fraction
100	EFO:0005720-	rna	-	99	0.3		384	sum_sqrt	RNA:SK-MEL-5 nuclear fraction
