original_index	identifier	track_type	strand	strand_pair	scale	gtex_tissue	clip_soft	sum_stat	description
0	EFO:0001098	rna	.	0	0.3		384	sum_sqrt	RNA:C2C12
1	EFO:0002034	rna	.	1	0.3		384	sum_sqrt	RNA:G1E
2	EFO:0002055	rna	.	2	0.3		384	sum_sqrt	RNA:G1E-ER4 treated with 10 nM 17B-estradiol for 24 hours
3	EFO:0002816	rna	.	3	0.3		384	sum_sqrt	RNA:C3H10T1/2
4	EFO:0003971	rna	.	4	0.3		384	sum_sqrt	RNA:MEL MEL
5	EFO:0005233	rna	.	5	0.3		384	sum_sqrt	RNA:B10.H-2aH-4bp/Wts CH12.LX
6	EFO:0005481	rna	.	6	0.3		384	sum_sqrt	RNA:Patski Patski
7	CL:0000187	rna	.	7	0.3		384	sum_sqrt	RNA:myocyte originated from C2C12
8	NTR:0000646	rna	.	8	0.3		384	sum_sqrt	RNA:B6NCrl left cerebral cortex tissue adult (6 months)
9	UBERON:0000160	rna	.	9	0.3		384	sum_sqrt	RNA:B6NCrl intestine tissue postnatal (0 days)
10	UBERON:0000945	rna	.	10	0.3		384	sum_sqrt	RNA:B6NCrl stomach tissue postnatal (0 days)
11	UBERON:0000948	rna	.	11	0.3		384	sum_sqrt	RNA:B6NCrl heart tissue embryo (16.5 days)
12	UBERON:0001049	rna	.	12	0.3		384	sum_sqrt	RNA:B6NCrl neural tube tissue embryo (15.5 days)
13	UBERON:0001134	rna	.	13	0.3		384	sum_sqrt	RNA:B6NCrl skeletal muscle tissue tissue postnatal (0 days)
14	UBERON:0001255	rna	.	14	0.3		384	sum_sqrt	RNA:B6NCrl urinary bladder tissue postnatal (0 days)
15	UBERON:0001890	rna	.	15	0.3		384	sum_sqrt	RNA:B6NCrl forebrain tissue embryo (16.5 days)
16	UBERON:0001891	rna	.	16	0.3		384	sum_sqrt	RNA:B6NCrl midbrain tissue embryo (11.5 days)
17	UBERON:0002028	rna	.	17	0.3		384	sum_sqrt	RNA:B6NCrl hindbrain tissue postnatal (0 days)
18	UBERON:0002048	rna	.	18	0.3		384	sum_sqrt	RNA:B6NCrl lung tissue embryo (14.5 days)
19	UBERON:0002101	rna	.	19	0.3		384	sum_sqrt	RNA:B6NCrl limb tissue embryo (14.5 days)
20	UBERON:0002106	rna	.	20	0.3		384	sum_sqrt	RNA:B6NCrl spleen tissue postnatal (0 days)
21	UBERON:0002107	rna	.	21	0.3		384	sum_sqrt	RNA:B6NCrl liver tissue postnatal (0 days)
22	UBERON:0002113	rna	.	22	0.3		384	sum_sqrt	RNA:B6NCrl kidney tissue embryo (15.5 days)
23	UBERON:0002305	rna	.	23	0.3		384	sum_sqrt	RNA:B6NCrl layer of hippocampus tissue adult (6 months)
24	UBERON:0002369	rna	.	24	0.3		384	sum_sqrt	RNA:B6NCrl adrenal gland tissue postnatal (0 days)
25	UBERON:0002370	rna	.	25	0.3		384	sum_sqrt	RNA:B6NCrl thymus tissue postnatal (0 days)
26	UBERON:0012314	rna	.	26	0.3		384	sum_sqrt	RNA:B6NCrl embryonic facial prominence tissue embryo (13.5 days)
27	EFO:0002034+	rna	+	28	0.3		384	sum_sqrt	RNA:G1E
28	EFO:0002034-	rna	-	27	0.3		384	sum_sqrt	RNA:G1E
29	EFO:0002055+	rna	+	30	0.3		384	sum_sqrt	RNA:G1E-ER4 treated with 10 nM 17B-estradiol for 14 hours
30	EFO:0002055-	rna	-	29	0.3		384	sum_sqrt	RNA:G1E-ER4 treated with 10 nM 17B-estradiol for 14 hours
31	CL:0000837+	rna	+	32	0.3		384	sum_sqrt	RNA:BALB/cJ hematopoietic multipotent progenitor cell
32	CL:0000837-	rna	-	31	0.3		384	sum_sqrt	RNA:BALB/cJ hematopoietic multipotent progenitor cell
33	CL:0000050+	rna	+	34	0.3		384	sum_sqrt	RNA:C57BL/6J megakaryocyte-erythroid progenitor cell female adult (5 weeks)
34	CL:0000050-	rna	-	33	0.3		384	sum_sqrt	RNA:C57BL/6J megakaryocyte-erythroid progenitor cell female adult (5 weeks)
35	CL:0000556+	rna	+	36	0.3		384	sum_sqrt	RNA:megakaryocyte embryo (14.5 days)
36	CL:0000556-	rna	-	35	0.3		384	sum_sqrt	RNA:megakaryocyte embryo (14.5 days)
37	CL:0000765+	rna	+	38	0.3		384	sum_sqrt	RNA:erythroblast embryo (14.5 days)
38	CL:0000765-	rna	-	37	0.3		384	sum_sqrt	RNA:erythroblast embryo (14.5 days)
39	NTR:0000714+	rna	+	40	0.3		384	sum_sqrt	RNA:BALB/cJ leukemia stem cell adult (10-12 weeks)
40	NTR:0000714-	rna	-	39	0.3		384	sum_sqrt	RNA:BALB/cJ leukemia stem cell adult (10-12 weeks)
41	UBERON:0000059+	rna	+	42	0.3		384	sum_sqrt	RNA:C57BL/6J large intestine tissue adult (8 weeks)
42	UBERON:0000059-	rna	-	41	0.3		384	sum_sqrt	RNA:C57BL/6J large intestine tissue adult (8 weeks)
43	UBERON:0000473+	rna	+	44	0.3		384	sum_sqrt	RNA:C57BL/6J testis tissue male adult (8 weeks)
44	UBERON:0000473-	rna	-	43	0.3		384	sum_sqrt	RNA:C57BL/6J testis tissue male adult (8 weeks)
45	UBERON:0000945+	rna	+	46	0.3		384	sum_sqrt	RNA:C57BL/6J stomach tissue adult (8 weeks)
46	UBERON:0000945-	rna	-	45	0.3		384	sum_sqrt	RNA:C57BL/6J stomach tissue adult (8 weeks)
47	UBERON:0000948+	rna	+	48	0.3		384	sum_sqrt	RNA:C57BL/6J heart tissue adult (8 weeks)
48	UBERON:0000948-	rna	-	47	0.3		384	sum_sqrt	RNA:C57BL/6J heart tissue adult (8 weeks)
49	UBERON:0000955+	rna	+	50	0.3		384	sum_sqrt	RNA:C57BL/6J brain tissue embryo (14.5 days)
50	UBERON:0000955-	rna	-	49	0.3		384	sum_sqrt	RNA:C57BL/6J brain tissue embryo (14.5 days)
